entity;pathway
MAP3K5;Oxidative Stress Induced Senescence
TXN;Oxidative Stress Induced Senescence
EGR1;Regulation of PTEN gene transcription
JUN;Regulation of PTEN gene transcription
SALL4;Regulation of PTEN gene transcription
MAF1;Regulation of PTEN gene transcription
PTEN;Regulation of PTEN localization
PTEN;Regulation of PTEN mRNA translation
CD86;CD28 co-stimulation
PIK3AP1;Antigen activates B Cell Receptor (BCR) leading to generation of second messengers
PDPK1;GPVI-mediated activation cascade
PDPK1;VEGFR2 mediated vascular permeability
PDPK1;CD28 dependent PI3K/Akt signaling
PDPK1;PIP3 activates AKT signaling,PI3K/AKT Signaling
CREB1;CREB1 phosphorylation through NMDA receptor-mediated activation of RAS signaling
CREB1;NCAM signaling for neurite out-growth
CREB1;CREB phosphorylation
RPS6KA5;NCAM signaling for neurite out-growth
RPS6KA5;ERK/MAPK targets
CREB1;ADORA2B mediated anti-inflammatory cytokines production
CREB1;FCGR3A-mediated IL10 synthesis
CREB1;CREB1 phosphorylation through the activation of Adenylate Cyclase
ADORA2B;ADORA2B mediated anti-inflammatory cytokines production
CCND1;Estrogen-dependent gene expression
POU2F1;Estrogen-dependent gene expression
EP300;Estrogen-dependent gene expression
HDAC1;Estrogen-dependent gene expression
YY1;Estrogen-dependent gene expression
GATA3;Estrogen-dependent gene expression
FOXA1;Estrogen-dependent gene expression
PTGES3;ESR-mediated signaling
PTK6;PTK6 Regulates Cell Cycle
PTK6;SCF(Skp2)-mediated degradation of p27/p21
PTK6;ERBB2 Activates PTK6 Signaling
PTK6;PTK6 Expression
PELP1;PTK6 Expression
EPAS1;PTK6 Expression
CDKN1B;Cyclin A:Cdk2-associated events at S phase entry
CDKN1B;Cyclin E associated events during G1/S transition 
CDKN1A;FOXO-mediated transcription of cell cycle genes
CDKN1A;TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
CDKN1A;Transcriptional  activation of  cell cycle inhibitor p21 
ZNF385A;Regulation of TP53 Activity through Association with Co-factors
ZNF385A;Transcriptional  activation of  cell cycle inhibitor p21 
PCBP4;FOXO-mediated transcription of cell cycle genes
PCBP4;TP53 Regulates Transcription of Genes Involved in G1 Cell Cycle Arrest
PCBP4;Transcriptional  activation of  cell cycle inhibitor p21 
SMAD4;Signaling by Activin
SMAD4;Signaling by NODAL
SMAD4;TGF-beta receptor signaling activates SMADs
SMAD4;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
FKBP1A;TGF-beta receptor signaling activates SMADs
TGFBR2;TGF-beta receptor signaling activates SMADs
ACVR1C;Signaling by Activin
ACVR1B;Signaling by Activin
TDGF1;POU5F1 (OCT4), SOX2, NANOG activate genes related to proliferation
USP9X;Ub-specific processing proteases
USP9X;Downregulation of SMAD2/3:SMAD4 transcriptional activity
SMAD4;Ub-specific processing proteases
SMAD4;Downregulation of SMAD2/3:SMAD4 transcriptional activity
TRIM33;Downregulation of SMAD2/3:SMAD4 transcriptional activity
SMURF2;Downregulation of SMAD2/3:SMAD4 transcriptional activity
RNF111;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
SMAD7;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
SMAD7;Interferon gamma signaling
SMAD7;Downregulation of SMAD2/3:SMAD4 transcriptional activity
ATP1B4;Downregulation of SMAD2/3:SMAD4 transcriptional activity
SNW1;Downregulation of SMAD2/3:SMAD4 transcriptional activity
WWTR1;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
CDKN1A;Cyclin A:Cdk2-associated events at S phase entry
CDKN1A;Cyclin E associated events during G1/S transition 
CDKN1A;DNA Damage/Telomere Stress Induced Senescence
EP400;DNA Damage/Telomere Stress Induced Senescence
CDC25A;Cyclin A:Cdk2-associated events at S phase entry
CDC25A;Transcription of E2F targets under negative control by DREAM complex
CDC25A;Cyclin E associated events during G1/S transition 
MYC;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
MYC;NOTCH1 Intracellular Domain Regulates Transcription
CREBBP;NOTCH1 Intracellular Domain Regulates Transcription
EP300;NOTCH1 Intracellular Domain Regulates Transcription
NOTCH1;NOTCH1 Intracellular Domain Regulates Transcription
NOTCH1;Activated NOTCH1 Transmits Signal to the Nucleus
JAG2;Activated NOTCH1 Transmits Signal to the Nucleus
NOTCH2;Pre-NOTCH Transcription and Translation
NOTCH1;Pre-NOTCH Transcription and Translation
NOTCH3;Pre-NOTCH Transcription and Translation
NOTCH3;NOTCH3 Intracellular Domain Regulates Transcription
RBPJ;NOTCH3 Intracellular Domain Regulates Transcription
NOTCH3;NOTCH3 Activation and Transmission of Signal to the Nucleus
JAG2;NOTCH3 Activation and Transmission of Signal to the Nucleus
DLL4;NOTCH3 Activation and Transmission of Signal to the Nucleus
DLL1;NOTCH3 Activation and Transmission of Signal to the Nucleus
JAG1;NOTCH3 Activation and Transmission of Signal to the Nucleus
ELF3;Pre-NOTCH Transcription and Translation
NOTCH4;Pre-NOTCH Transcription and Translation
JAG1;Activated NOTCH1 Transmits Signal to the Nucleus
DLL4;Activated NOTCH1 Transmits Signal to the Nucleus
DLL1;Activated NOTCH1 Transmits Signal to the Nucleus
MYC;RUNX3 regulates WNT signaling
MYC;Binding of TCF/LEF:CTNNB1 to target gene promoters
RUNX3;RUNX3 regulates WNT signaling
RUNX3;Regulation of RUNX3 expression and activity
RBL2;Cyclin D associated events in G1
RB1;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
SKP2;APC/C:Cdh1 mediated degradation of Cdc20 and other APC/C:Cdh1 targeted proteins in late mitosis/early G1
CDC20;Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
MAD2L1;Inhibition of the proteolytic activity of APC/C required for the onset of anaphase by mitotic spindle checkpoint components
CDC25C;Chk1/Chk2(Cds1) mediated inactivation of Cyclin B:Cdk1 complex
CDC25C;RHO GTPases activate PKNs
PKN1;RHO GTPases activate PKNs
PXN;PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
PTK6;PTK6 Regulates RHO GTPases, RAS GTPase and MAP kinases
CDC25C;Activation of ATR in response to replication stress
GTSE1;G2/M Checkpoints
MDM2;Stabilization of p53
MDM2;Regulation of TP53 Degradation
SGK1;Regulation of TP53 Degradation
SGK1;PIP3 activates AKT signaling,PI3K/AKT Signaling
MDM2;AKT phosphorylates targets in the cytosol
CDC25A;Ubiquitin Mediated Degradation of Phosphorylated Cdc25A
CDC25A;Activation of ATR in response to replication stress
WAPL;Cohesin Loading onto Chromatin
CDCA5;Establishment of Sister Chromatid Cohesion
CDC45;Activation of the pre-replicative complex
CDC45;G1/S-Specific Transcription
CDT1;Activation of the pre-replicative complex
MCM10;Activation of the pre-replicative complex
DNA2;Removal of the Flap Intermediate
GINS2;Unwinding of DNA
GINS1;Unwinding of DNA
GINS3;Unwinding of DNA
GINS4;Unwinding of DNA
CDC45;Unwinding of DNA
RB1;Phosphorylation of proteins involved in G1/S transition by active Cyclin E:Cdk2 complexes
CDT1;Switching of origins to a post-replicative state
GMNN;Switching of origins to a post-replicative state
GMNN;Activation of the pre-replicative complex
CDC6;CDC6 association with the ORC:origin complex
CDC6;G1/S-Specific Transcription
CDC6;Transcription of E2F targets under negative control by DREAM complex
MCM8;CDC6 association with the ORC:origin complex
MCM5;Assembly of the pre-replicative complex
MCM3;Assembly of the pre-replicative complex
MCM2;Assembly of the pre-replicative complex
MCM7;Assembly of the pre-replicative complex
MCM6;Assembly of the pre-replicative complex
MCM4;Assembly of the pre-replicative complex
CDT1;Assembly of the pre-replicative complex
GMNN;Assembly of the pre-replicative complex
ORC2;Assembly of the ORC complex at the origin of replication
ORC3;Assembly of the ORC complex at the origin of replication
ORC4;Assembly of the ORC complex at the origin of replication
ORC5;Assembly of the ORC complex at the origin of replication
ORC1;Assembly of the ORC complex at the origin of replication
ORC6;Assembly of the ORC complex at the origin of replication
RBL1;Transcription of E2F targets under negative control by DREAM complex
E2F1;Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
E2F1;Transcription of E2F targets under negative control by DREAM complex
HDAC1;G0 and Early G1
PCNA;G1/S-Specific Transcription
PCNA;Transcription of E2F targets under negative control by DREAM complex
TOP2A;Transcription of E2F targets under negative control by DREAM complex
RBL1;G0 and Early G1
RBL1;Cyclin D associated events in G1
CCNA2;Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
CDK1;G1/S-Specific Transcription
CDK1;Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
MYBL2;Transcription of E2F targets under negative control by p107 (RBL1) and p130 (RBL2) in complex with HDAC1
RBL2;G0 and Early G1
CDKN2B;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
SP1;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
CDKN2A;Transcriptional Regulation by VENTX
CDKN2A;Oxidative Stress Induced Senescence
CDKN2A;Oncogene Induced Senescence
KDM6B;Oxidative Stress Induced Senescence
FOS;Oxidative Stress Induced Senescence
FOS;FCERI mediated MAPK activation
FOS;Activation of the AP-1 family of transcription factors
JUN;Oxidative Stress Induced Senescence
JUN;FCERI mediated MAPK activation
JUN;Activation of the AP-1 family of transcription factors
RBBP4;Oxidative Stress Induced Senescence
SUZ12;Oxidative Stress Induced Senescence
EZH2;Oxidative Stress Induced Senescence
EED;Oxidative Stress Induced Senescence
RBBP7;Oxidative Stress Induced Senescence
ETS2;Oncogene Induced Senescence
ETS1;Oncogene Induced Senescence
SP1;Oncogene Induced Senescence
CDKN2B;Senescence-Associated Secretory Phenotype (SASP)
CEBPB;Senescence-Associated Secretory Phenotype (SASP)
MAPK7;Signalling to ERK5
NEDD4L;Downregulation of SMAD2/3:SMAD4 transcriptional activity
HDAC1;Downregulation of SMAD2/3:SMAD4 transcriptional activity
PARP1;Downregulation of SMAD2/3:SMAD4 transcriptional activity
PPM1A;Downregulation of SMAD2/3:SMAD4 transcriptional activity
RAF1;IFNG signaling activates MAPKs
EP300;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
FURIN;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
YBX1;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
YBX1;Interferon gamma signaling
MEN1;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
COL1A2;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
SERPINE1;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
JUNB;SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
LTBP4;Molecules associated with elastic fibres
LTBP4;TGF-beta receptor signaling activates SMADs
CBL;TGF-beta receptor signaling activates SMADs
UBE2M;TGF-beta receptor signaling activates SMADs
SMAD7;Downregulation of TGF-beta receptor signaling
NEDD4L;Downregulation of TGF-beta receptor signaling
STRAP;Downregulation of TGF-beta receptor signaling
STUB1;Downregulation of TGF-beta receptor signaling
SMAD3;Downregulation of TGF-beta receptor signaling
SMURF1;Downregulation of TGF-beta receptor signaling
XPO1;Downregulation of TGF-beta receptor signaling
SMAD2;Downregulation of TGF-beta receptor signaling
SMURF2;Downregulation of TGF-beta receptor signaling
MTMR4;Downregulation of TGF-beta receptor signaling
BAMBI;Downregulation of TGF-beta receptor signaling
PMEPA1;Downregulation of TGF-beta receptor signaling
SMURF1;TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
FKBP1A;TGF-beta receptor signaling in EMT (epithelial to mesenchymal transition)
PIAS1;Regulation of IFNG signaling
SUMO1;Regulation of IFNG signaling
CIITA;Interferon gamma signaling
B2M;Interferon gamma signaling
IFI30;Interferon gamma signaling
PTAFR;Interferon gamma signaling
SP100;Interferon gamma signaling
PML;Interferon gamma signaling
MT2A;Interferon gamma signaling
ACE2;Attachment and Entry
UBE2I;Maturation of nucleoprotein
ACE2;Potential therapeutics for SARS
ISCU;Maturation of replicase proteins
PHAX;snRNP Assembly
SNRPF;snRNP Assembly
SNRPD3;snRNP Assembly
SNRPE;snRNP Assembly
SNRPB;snRNP Assembly
SNRPG;snRNP Assembly
SNRPD2;snRNP Assembly
SNRPD1;snRNP Assembly
IL17RA;SARS-CoV-2 activates/modulates innate and adaptive immune responses
KPNA2;SARS-CoV-2 activates/modulates innate and adaptive immune responses
IRF3;DDX58/IFIH1-mediated induction of interferon-alpha/beta,RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
TBK1;DDX58/IFIH1-mediated induction of interferon-alpha/beta,RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
MAVS;DDX58/IFIH1-mediated induction of interferon-alpha/beta,RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
TOMM70;DDX58/IFIH1-mediated induction of interferon-alpha/beta,RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
IL17RA;Interleukin-17 signaling
IL17RC;Interleukin-17 signaling
IL17RC;SARS-CoV-2 activates/modulates innate and adaptive immune responses
CNBP;SARS-CoV-2 activates/modulates innate and adaptive immune responses
TRIM25;SARS-CoV-2 activates/modulates innate and adaptive immune responses
TOMM70;SARS-CoV-2 activates/modulates innate and adaptive immune responses
PDIA3;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
TAPBP;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
CALR;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
B2M;Antigen Presentation: Folding, assembly and peptide loading of class I MHC
RIGI;SARS-CoV-2 activates/modulates innate and adaptive immune responses
STING1;SARS-CoV-2 activates/modulates innate and adaptive immune responses
STAT2;Interferon alpha/beta signaling
STAT2;Evasion by RSV of host interferon responses
MAVS;SARS-CoV-2 activates/modulates innate and adaptive immune responses
IRF3;SARS-CoV-2 activates/modulates innate and adaptive immune responses
ISG15;SARS-CoV-2 activates/modulates innate and adaptive immune responses
UBE2L6;ISG15 antiviral mechanism
IRF3;ISG15 antiviral mechanism
UBA7;ISG15 antiviral mechanism
ISG15;ISG15 antiviral mechanism
NLRP12;SARS-CoV-2 activates/modulates innate and adaptive immune responses
RIGI;DDX58/IFIH1-mediated induction of interferon-alpha/beta,RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
TBK1;SARS-CoV-2 activates/modulates innate and adaptive immune responses
SIKE1;TRAF3-dependent IRF activation pathway
SIKE1;SARS-CoV-2 activates/modulates innate and adaptive immune responses
TRAF3;TRAF3-dependent IRF activation pathway
TKFC;DDX58/IFIH1-mediated induction of interferon-alpha/beta,RIG-I/MDA5 mediated induction of IFN-alpha/beta pathways
LARP1;SARS-CoV-2 activates/modulates innate and adaptive immune responses
TKFC;SARS-CoV-2 activates/modulates innate and adaptive immune responses
TAB1;SARS-CoV-2 activates/modulates innate and adaptive immune responses
NLRP3;SARS-CoV-2 activates/modulates innate and adaptive immune responses
MAP1LC3B;SARS-CoV-2 modulates autophagy
TUFM;SARS-CoV-2 modulates autophagy
UVRAG;SARS-CoV-2 modulates autophagy
CAV1;SARS-CoV-2 targets host intracellular signalling and regulatory pathways
CAV1;SARS-CoV-1 targets host intracellular signalling and regulatory pathways
PDPK1;SARS-CoV-2 targets host intracellular signalling and regulatory pathways
TJP1;SARS-CoV-2 targets PDZ proteins in cell-cell junction
CRB3;Tight junction interactions
CRB3;SARS-CoV-2 targets PDZ proteins in cell-cell junction
PATJ;Tight junction interactions
PATJ;SARS-CoV-2 targets PDZ proteins in cell-cell junction
PALS1;Tight junction interactions
PALS1;SARS-CoV-2 targets PDZ proteins in cell-cell junction
PALS1;SARS-CoV-1 targets PDZ proteins in cell-cell junction
TJP1;Regulation of gap junction activity
CFH;Regulation of Complement cascade
CFI;Regulation of Complement cascade
CD46;Regulation of Complement cascade
C2;Regulation of Complement cascade
CFB;Regulation of Complement cascade
CR1;Regulation of Complement cascade
C5AR2;Peptide ligand-binding receptors
C5AR2;Regulation of Complement cascade
SERPING1;Regulation of Complement cascade
CR2;Regulation of Complement cascade
CD55;Regulation of Complement cascade
C9;Regulation of Complement cascade
CD59;Regulation of Complement cascade
C7;Terminal pathway of complement
C6;Terminal pathway of complement
PROS1;Regulation of Complement cascade
VTN;Regulation of Complement cascade
C9;Terminal pathway of complement
MYO6;Gap junction degradation
DAB2;Formation of annular gap junctions
GJA1;Gap junction assembly
GJA1;Oligomerization of connexins into connexons
GJA1;Transport of connexins along the secretory pathway
GJB1;Oligomerization of connexins into connexons
GJB1;Gap junction assembly
GJB2;Oligomerization of connexins into connexons
GJB2;Gap junction assembly
